item	site	category	subcategory	description
Smelter Demon Set	Dark Souls 2 Wiki	Armor	+	"""Armor of the Smelter Demon, a great mass of iron that was given life. High fire defense.""
""Armor of the Smelter Demon, a great mass of iron that was given life. High fire defense. The Old Iron King was possessed of a great bounty of ore, but was incinerated by a creature that rose from the infernal depths of the earth.""
"
Mastodon Set	Dark Souls 2 Wiki	Armor	+	"""Helm/Armor/Gauntlets/Leggings worn by the Primal Knights of Drangleic castle.
Their weight would normally crush a man, but the Primal Knights wear them as if they were silk, so fearsome is their brutal strength.
The King restored a forbidden, long-lost art to create these inhuman abominations.""
"
Leydia White Set	Dark Souls 2 Wiki	Armor	+	"""Hood/Robe/Gloves of a Leydia Pyromancer.
Leydia apostles, in their conceit, occupied the Undead Crypt and misused death.
This invoked the ire of Fenito, who branded them as transgressors.""
"
Lion Warrior Set	Dark Souls 2 Wiki	Armor	+	"Red cape worn by Lion Clan warriors.
The Lion Clan are an offshoot race that have no ties to humans, and would murder anyone with the curious notion of approaching them.
The lion clansmen seem to despise their own looks, as they hate being seen.
"
Hard Leather Set	Dark Souls 2 Wiki	Armor	+	"""Helmet made of iron.""
""Armor/Gauntlets/Boots made of sturdy leather.
A commonplace piece of armor. No embellishments. Very solid.""
"
Traveling Merchant Set	Dark Souls 2 Wiki	Armor	+	"""Hat/Coat/Gloves/Boots worn by merchants from Lanafir,""
helm adds: ""where blue represents knowledge. Wearing this increases item discovery.""
Armor adds: ""The eagle is normally a symbol of strength, but in Lanafir it symbolizes wealth.""
All: ""Lanafir is the farthest land to the south and follows a strict edict of isolationism. The rare visitor from Lanafir is always a little odd.""""
"
Gyrm Warrior Set	Dark Souls 2 Wiki	Armor	+	"""An old armor that is oddly comfortable. Belonged to a Gyrm Warrior. To this day, the forbidden love of Prince of Alken and the Princess of Venn manipulates these marionettes. Surely they never imagined that their dolls would outlast their own kingdoms.""
"
Knight Set	Dark Souls 2 Wiki	Armor	+	"""Metal helm (armor/gauntlets/leggings) worn by Knights.
Despite the thin metal used, the grooved texture gives it added protection.
Many knights favor this/these helmet (armor/gauntlets/leggings) for its/their fine craftsmanship, and its/their like has been passed down the generations.""
Changed to:
""Metal [armor piece] worn by knights. Standard issue for new Drangleic knights.
Knights have long trusted this [armor piece] for its excellent functionality""
"
Peasant Set	Dark Souls 2 Wiki	Armor	+	"""Hat commonly worn by peasants. Designed to block sunlight, more fit for farming than fighting.""
""Attire/long gloves/trousers commonly worn by peasants. Normal workwear, more fit for farming than fighting.""
"
Archdrake Set	Dark Souls 2 Wiki	Armor	+	"""Helmet/Robes/Gloves/Boots worn by the Archdrake sect of Lindelt.
Though little is actually known about the order, it is said their well-honed miracles and unwavering faith in the face of death made them worthy rivals to Drangleic's forces in their day.""
Scholar of the First Sin changed to:
""Little is known about the Archdrake sect and its ancient rituals, and those who dare to indulge their curiosity have been known to simply vanish.
The Archdrake sect are the keepers of Lindelt's histories, including the only record of its foundation, a tome they have good reason to keep hidden away.""
"
Penal Set	Dark Souls 2 Wiki	Armor	+	"""Mask of the Lost Sinner. The spikes pointing inward suggest that this was not only used to blind prisoners, but to torture them as well."" Effect: Raises equipment load
""Straightjacket of the Lost Sinner. A tightly cinched belt presses against the waist.""
""Handcuffs of the Lost Sinner. Increases the power of pyromancy. A device used to restrict use of the hands."" Effect: Raises power of pyromancies
""Skirt worn by the Lost Sinner. A tattered skirt that the guilty wear in shame.""
""By now, no one knows who this was used to punish, or for what reason.""
"
Brigand Set	Dark Souls 2 Wiki	Armor	+	"""Hood/Armor/Gauntlets/Trousers donned by looting brigands.""
Hood: ""Mountains surround Drangleic on three sides. Most travelers who try to cross them end up hapless prey to the countless brigands lurking there.""
Rest of set: ""This armor may appear shoddy, but is in fact a very functional piece of work, its materials meticulously crafted together.""
"
Grave Warden Set	Dark Souls 2 Wiki	Armor	+	"Hood changed to: ""Hood worn by a Grave Warden sorcerer. The man claims to have sealed himself away, but who's ever heard of sentient magic?
It is no doubt difficult to judge the veracity of the man's words, but this hood certainly seems to possess an unusual power.""
""Robe/Gloves/Leggings worn by a Grave Warden sorcerer. He calls himself Navlaan, now.""
"
Hollow Soldier Set	Dark Souls 2 Wiki	Armor	+	"""Helm (armor, gloves, leggings) worn by Hollowed Royal Soldiers. Appears to be crafted with quality materials, but is highly degraded and close to falling apart. Wearing this will be of little use.""
"
Drakekeeper Set	Dark Souls 2 Wiki	Armor	+	"""Giant onyx armor (helmet/gauntlets/leggings).
Something dark indeed eats away at the drakekeepers, eternal guardians of the shrine.""
"
Infantry Set	Dark Souls 2 Wiki	Armor	+	"""Helmet/Armor/Helm/Gloves worn by Drangleic infantry.
Apiece of basic, minimal equipment. At least it's light and easy-to-use.""
"
Old Knight Set	Dark Souls 2 Wiki	Armor	+	"""Old undated Armor/Gauntlets/Leggings.
How old could this nearly-crumbling armor be?
Has extremely low durability.
Sometimes, just as a thing falls to pieces, it unleashes its last flash of great power...""
"
Heide Knight Set	Dark Souls 2 Wiki	Armor	+	"""Greathelm/Chainmail/Gauntlets/Leggings worn by Heide Knights""
""Whether Heide refers to a kingdom or was just a name for the land is not clear, for no records date back far enough to tell.
All that is known is that the Way of Blue has its origins in Heide, and that Heide was later subsumed by the sea.""
"
Aurous Set	Dark Souls 2 Wiki	Armor	+	"""Helm/Armor/Gauntlets/Leggings of kings of the desert land of Jugo. First worn by Aurous, the land's heroic founder.
According to legend, the armor of Aurous is composed of a mysterious substance that cannot be seen by cowards. What do your eyes tell you? ""
/""Helm/Armor/Gauntlets/Leggings of kings of the desert land of Jugo. First worn by Aurous, the land's heroic founder.
According to legend, the armor of Aurous is composed of a mysterious substance that cannot be seen by cowards. What do your eyes tell you? ""
"
Faraam Set	Dark Souls 2 Wiki	Armor	+	"""Helmet (Armor/Gauntlets/Boots) blessed by the war god Faraam.""
""This helmet (armor/gauntlets/boots) is designed in the style of the Lion Knights, a once-mighty order from Forossa. Although the Lion Knights wore heavy armor, they were feared for their nimble two-handed swordplay.
But their legacy was cut short with the fall of Forossa.""
"
Cale's Set	Dark Souls 2 Wiki	Armor	+	"""Helmet/Armor/Leggings of a light mirrah foot soldier. belonged to Cale the Cartographer.
Apparently Cale procured this inexpensively second-hand, but it's surprisingly well-made.""
"
Throne Watcher Set	Dark Souls 2 Wiki	Armor	+	"""Helm/Armor/Gauntlets/Leggings worn by the Throne Watcher. Has high magic defense.
The Watcher waited by the throne for ages. Will all his waiting ever be rewarded?""
"
Priestess Set	Dark Souls 2 Wiki	Armor	+	"""Robe worn by Drangleic clerics.""
""The clerics of Drangleic have retained their status throughout the ages, but were always at arms length from the royal family, as if their existence was little more than a formality.""
""It is customary for clerics to wear different garb depending on their area, but the reason for this practice is unknown...
This is a woman's robe.""
"
Leydia Black Set	Dark Souls 2 Wiki	Armor	+	"""Hood/Robe worn by Leydia witches.
Leydia apostles worship Galib, god of disease. They once resided in the Undead Crypt beside Fenito.
The Leydia witches grew conceited, and began to manipulate both the onset and curing of disease, making themselves the effective gatekeepers of the crypt.""
"
Lucatiel's Set	Dark Souls 2 Wiki	Armor	+	"""Mask attached to a ceremonial hat. Belonged to Lucatiel of Mirrah.
Normally hats and masks are separate, but these two have been adjoined.""
""Vest/Gloves/Trousers worn by knights while on travel. Belonged to Lucatiel of Mirrah.
Only those who have distinguished themselves on the battlefield were admitted into the elite ranks of Mirrah's official order of knights.
It is common to hear of a peasant's dream of striving for knighthood as an escape from hardship, but who would ever think it possible?
"
Desert Sorceress Set	Dark Souls 2 Wiki	Armor	+	"""Sorceress hood from the distant land of Jugo. Appears to be a plain, thin fabric, but is permeated with powerful magic.
Desert Sorceresses have enchanting looks, and they use them to catch people off guard.
Oddly enough, even those who are perceptive enough to realize the ploy fall prey to their seductions with alarming regularity.""
"
