item	site	category	subcategory	description
Bandit Set	Dark Souls Wiki	Armor	Armor Starting Sets	"""Worn by the brigands who raid mountain hamlets and attack travelers""
Hood- In addition to protecting against the blazing sun, dust, and sand, it helps them tell friend from foe in the heat of battle.
Armor/Gauntlets/Trousers- The addition of metal over a base of cloth and leather offers good mobility and defense.
"
Witch Set	Dark Souls Wiki	Armor	Light Armor	"
Armor set of the rogue witch Beatrice. Almost all magic users that employ a wand studied at Dragon School, but Beatrice is one of the few exceptions. She braved the Abyss but did not live to tell of her ordeal.
"
Black Sorcerer Set	Dark Souls Wiki	Armor	Light Armor	"
Outfit worn by the secret sorcerers at Vinheim Dragon School.They secretly work with sound-based spells, and never reveal themselves.
"
Knight Set	Dark Souls Wiki	Armor	Armor Starting Sets	"Helm/Armor/Gauntlets/Leggings- Equipment of a lower a rank knight. Despite the thin metal used, the grooved texture gives them added protection
"
Havel's Set	Dark Souls Wiki	Armor	Heavy Armor	"
Apparel worn by Havel the Rock's warriors. Carved from solid rock, its tremendous weight is matched only by the defense it provides.Havel's Warriors never flinched nor retreated from battle. Those unfortunate enough to face them were inevitably beaten to a pulp.
"
Balder Set	Dark Souls Wiki	Armor	Medium Armor	"
Helm/Armor/Gauntlets/Leggings-Apparel worn by the knights of the ancient kingdom of Balder. It is made from thick iron plates. Balder was the homeland of the Knight King Rendal, but it came to ruin after a great many Undead were spawned.
"
Crystalline Set	Dark Souls Wiki	Armor	Medium Armor	"
Helm / Armor / Gauntlets / Leggings- worn by a Hollowed knight, who was partially crystalized.The crystal provides strong defense, but they cannot be used for long because they are easily broken and cannot be repaired.
"
Stone Knight Set	Dark Souls Wiki	Armor	Heavy Armor	"
Moss-covered armor of the Stone Knight, defender of the Darkroot Garden.The Stone Knight is a product of ancient magic, and although this armor is also imbued with magic, it is incredibly heavy.
"
Sorcerer Set	Dark Souls Wiki	Armor	Armor Starting Sets	"Hat/Cloak/Gauntlets/Boots- Worn by proper sorcerers who studied at Vinheim Dragon School.
""The majority take pride in having studied at the academy and look down on breaking the formal dress code established for sorcerers.""
"
Iron Golem Set	Dark Souls Wiki	Armor	Heavy Armor	"
Armor of the Iron Golem, guardian of the ancient Sen's Fortress, slayer of heroes who ventured forth to Anor Londo.Without it's core, it is a mere hunk of iron, and can be equipped as solid protective gear, but its immense weight hinders stamina recovery. 
"
Eastern Set	Dark Souls Wiki	Armor	Medium Armor	"
Exquisitely crafted, this helm offers excellent defense, particulary versus slashing attacks, which are one of the main threats in battles in the East.Distinctive armor made in an Eastern Land. Exquisitely crafted, this armor offers excellent defense, particularly versus slash attacks, which are one of the main threats in battles in the East.
"
Paladin Set	Dark Souls Wiki	Armor	Medium Armor	"
Apparel of Leeroy, Paladin of the Catacombs.Long ago, the Way of White produced its first Undead, a paladin in golden armor. With the legendary treasures Grant and Sanctus, Leeroy set out Lordran, Land of the Gods, in the first Undead mission of the Way of White.
"
Chain Set	Dark Souls Wiki	Armor	Light Armor	"
Helm/Armor/Leggings- Chainmail apparel made of thin interlinking steel. It is common throughout the human world since it can be easily produced, is not too heavy, and offers good defenses.Knights may favor flashy armor, but for warriors on the battlefield, anything is fine as long as it keeps them alive.Gauntlets made of soft leather. One of the more common kinds of protective gear.
"
Xanthous Set	Dark Souls Wiki	Armor	Light Armor	"
Crown/Overcoat/Gloves/Waistcloth- A mysterious item once worn by the Xanthous King Jeremiah, the legendary exile. No one knows where it came from.The crown bears high-quality cloth which is quite soft to the touch, but its bright yellow color stings the eyes, and it is clearly far too big.Overcoat/Gloves/Waistcloth- It may be tattered, but its bright yellow color still stings the eyes.
"
Gwyndolin Moonlight Set	Dark Souls Wiki	Armor	Light Armor	"
Garb of the Dark Sun Gwyndolin, protector of the forsaken city of Anor Londo.The crown of the gods demands faith immeasurable of its wearer, but it is imbued with Darkmoon power that enhances all magic. The image of the sun manifests Gwyndolin's deep adoration of the sun.The power of the moon was strong in Gwyndolin, and thus he was raised as a daughter. His magic garb is silk-thin, and hardly provides any physical defense.
"
Great Lord Armor	Dark Souls Wiki	Armor	Light Armor	"
Armor of Gwyn, Lord of Cinder, who linked the First Flame. Lord Gwyn, bearer of the ultimate soul, divided that power among his clan before linking the flame. When he departed, he left only with his greatsword, his garb, and the crown, now bereft of power. He kept his crown perhaps to preserve a symbol of the monarch, for its actual power had fully subsided.
"
Thief Set	Dark Souls Wiki	Armor	Armor Starting Sets	"Mask of sinners. They hide their faces, stifle their voices and hide in the shadows. It does not provide much in the way of defense.
This armor is made of smooth black leather is extremely quiet, a good thing for those who hide in the shadows. The leather itself is thick, offering a decent level of protection.
"
Wanderer Set	Dark Souls Wiki	Armor	Armor Starting Sets	"Hood of an aimless traveler. Made from sturdy leather, it offers protection versus wind and rain.
 Coat of an aimless traveler. Made from sturdy leather and quilting. Battle comes with the territory when one wanders the land, and this coat provides a certain degree of protection.
 Manchette of an aimless wanderer. Made from sturdy leather and protects the hands.Boots of an aimless traveler. Made from sturdy leather. A must-have for long journeys.
"
Giant Armor Set	Dark Souls Wiki	Armor	Heavy Armor	"
Armor of the giant sentinels of Anor Londo.Made from ancient brass, it also offers protection versus non-physical attacks, but due to its giant size, it is extremely heavy for humans, and impedes stamina recovery.
"
Gold-Hemmed Black Set	Dark Souls Wiki	Armor	Light Armor	"
Worn by the witch Quelana of Izalith, mother of pyromancy and Daughter of Chaos.She wore this gold-hemmed black set before even the Age of Fire,and it offer strong resistance versus fire, poison, and other perils.
"
Pyromancer Set	Dark Souls Wiki	Armor	Armor Starting Sets	"Hood/Robe/Manchette- Worn by the pyromancers of the Great Swamp. Though it appears tattered, it is actually quite strong. Their attire offers substantial protection against poison, fire, and other forces of nature out in the hinterlands where they were driven. Boots made of thick leather. The boots of the pyromancers are incredibly tough, on account of the rugged grasslands and treacherous swamps they must traverse. Their soles are nearly impenetrable.
"
Steel Set	Dark Souls Wiki	Armor	Medium Armor	"
Armor set of the Knights of Berenike, known for their heavy armaments and armor.Countless Knights of Berenike, once extolled as the mighiest of mighty, became Undead and ventured to Lordran. But their journey was for naught, as they went Hollow, and became a threat to all Undead.
"
Maiden Set	Dark Souls Wiki	Armor	Light Armor	"
Apparel worn by traveling maidens. It is part of their formal attire, regardless of rank.It is soft and well-made, but does not offer much in the way of defense, making it ill-suited to use in battle.
"
