item	site	category	subcategory	description
Poisonbite Ring	Dark Souls 3 Wiki	Rings	+	"
One of the bite rings native to Carim.Increases poison resistance.
The crafting of these rings is forbidden, perhaps owing to a fear of malleable stone.Clerics, however, dabble freely in the art.
"
Ring of Sacrifice	Dark Souls 3 Wiki	Rings	+	"
This mystical ring was created in a sacrificial rite of Velka, the Goddess of Sin.
Its wearer will lose nothing upon death, but the ring itself breaks.
A sacrifice is only worth as much as the life it spares.
"
Scholar Ring	Dark Souls 3 Wiki	Rings	+	"
A ring engraved with a potrait of a scholar. Increases intelligence.
In Lothric, the Scholar has long been considered one of the Three Pillars of the king's rule, and is therefore master of the Grand Archives.
"
Dragonscale Ring	Dark Souls 3 Wiki	Rings	+	"
Ring of Oceiros, former king of Lothric. Reduces damage from backstabs.
In his later years, Oceiros became fascinated with dragons. After going mad, he was more commonly known as the Consumed King. Many assassins were dispatched to his domain, but none returned.
The Consumed King ascribed his resilience to the divine protection of the dragon scale.""
"
Wolf Ring	Dark Souls 3 Wiki	Rings	+	"
Ring associated with Abysswalker Artorias,one of the Four Knights of Gwyn, the First Lord.
Increases poise.
Artorias had an unbendable will of steel,and was unmatched with a greatsword.
"
Red Tearstone Ring	Dark Souls 3 Wiki	Rings	+	"
A ring set with a large rare tearstone jewel. Temporarily boosts attack when HP is low.This stone is said to be a tear of mourning of the goddess Caitha, and of course, tears are always more beautiful near death.
"
Pontiff's Left Eye	Dark Souls 3 Wiki	Rings	+	"
Bewitched ring that Pontiff Sulyvahn bestowed upon his knights.Recovers HP with successive attacks.Knights who peer into the black orb are lured into battles of death, transformed into frenzied beasts. No wonder the Pontiff only provides these rings to those dispatched to foreign lands.
"
Aldrich's Sapphire	Dark Souls 3 Wiki	Rings	+	"
A malformed ring left by Aldrich, Saint of the Deep. Recovers FP from critical attacks. Aldrich, infamous for his appetite for flesh, apparently had the desire to share with others his joy of imbibing the final shudders of life while luxuriating in his victim's screams.
"
Thunder Stoneplate Ring	Dark Souls 3 Wiki	Rings	+	"
Stoneplates are symbols of true knights, and yellow stoneplates are granted to those who would become dragons.
Increases lightning damage absorption.""
"
Great Swamp Ring	Dark Souls 3 Wiki	Rings	+	"
Ring said to be chiseled from the bone of a flame salamander by blighted Pyromancers living in the Great Swamp.Boosts pyromancies.It is believed that salamanders are the descendants of demons, born of the Chaos Flame, from which Pyromancy is also said to have originated.
"
Magic Stoneplate Ring	Dark Souls 3 Wiki	Rings	+	"
Stoneplates are symbols of true knights, and blue stoneplates are granted to royal palace guards.
Increases magic damage absorption.
"
Aldrich's Ruby	Dark Souls 3 Wiki	Rings	+	"
A malformed ring left by Aldrich, Saint of the Deep. Recovers HP from critical attacks.Aldrich, infamous for his appetite for flesh apparently had the desire to share with others his joy of imbibing the final shudders of life while luxuriating in his victim's screams.
"
Ashen Estus Ring	Dark Souls 3 Wiki	Rings	+	"
Gray crystalline ring crafted from shards. Increases FP restored by Ashen Estus Flask.Once a treasure brought before Lothric's Queen, she had it enshrined in the Cemetery of Untended Graves, so that one day an Unkindled might profit from its use.
"
Dark Stoneplate Ring	Dark Souls 3 Wiki	Rings	+	"
Stoneplates are symbols of true knights, and dark purple stoneplates are granted to Undead Knights.Increases dark damage absorption.
"
Hawk Ring	Dark Souls 3 Wiki	Rings	+	"
Ring associated with Hawkeye Gough, one of the Four Knights of Gwyn, the First Lord.Extends the range of arrows.In his later years, the giant Gough was blinded, but this did not prevent him from striking down a calamitous dragon with his Greatbow.
"
Untrue Dark Ring	Dark Souls 3 Wiki	Rings	+	"
One of the illusory rings worn by the Hollows of Londor.
Retain human appearance while hollow.
The Hollows of Londor are wretchedly aged, fraught with deceit and dubiously secretive. It is no wonder that they are deeply detested.""
"
Covetous Gold Serpent Ring	Dark Souls 3 Wiki	Rings	+	"
A gold ring depicting a snake that could have been, but never was, a dragon. Fallen foes are more likely to drop items.
Snakes are known as creatures of great avarice, devouring prey even larger than themselves by swallowing them whole.
If one's shackles are cause for discontent, perhaps it is time for some good old fashioned greed.
"
