item	site	category	subcategory	description
Ancient Dragon Seal	Dark Souls 2 Wiki	Rings	+	"

""Ring of the Dragon Remnants covenant. Slightly increases Estus Flask HP recovery.
Possessing a dragon scale is proof of its owner's prowess. Strength should always be displayed boldly, and meted out justly.
Members of the covenant who bear dragon scales can fight with one another. The survivor of the duel claims the dragon scale of the opponent.""

"
Ring of Resistance	Dark Souls 2 Wiki	Rings	+	"
""A protective ring adorned with four blessed gems. Increases resistance to poison, bleeding, petrification, and curses. A creation of the lost land of Olaphis. The sorcerer who created this was so powerful that he became widely feared""
"
Clear Bluestone Ring	Dark Souls 2 Wiki	Rings	+	"
""A ring that belonged to Fiorenza, the only truly moneyed merchant in Volgen. Shortens spell casting time. Fiorenza used his riches to buy up trinkets of luxury and rare collectibles, but was ruined after years of excessive debauchery. ""
"
Ring of the Evil Eye	Dark Souls 2 Wiki	Rings	+	"
""A modest, but inexplicably disturbing ring. Absorb HP for each enemy defeated. Peer too closely at the rare stone that forms the eye of this ring, and things that writhe and stir may come into focus.""
"
Flynn's Ring	Dark Souls 2 Wiki	Rings	+	"
""Ring of Flynn, the infamous thief. Utilizes the strength of the wind, such that lower equip load proportionally increases physical attack. Flynn was known as a tiny fighter who packed a mighty punch. Even the most skilled warriors in the land failed to capture him.""
"
Illusory Ring of the Exalted	Dark Souls 2 Wiki	Rings	+	"
A ring of yellow stone. The stone is misshaped, however imperceptibly. Renders certain equipment invisible. Do not judge your foes by their appearance. He who approaches without a sword carries two behind his back.
"
Old Leo Ring	Dark Souls 2 Wiki	Rings	+	"
""The beloved ring of a dragon-slaying knight. Strengthens thrust weapon counter attacks. After many years of use, the ring's face has worn down, but close inspection reveals an engraved lion.""
"
Red Tearstone Ring	Dark Souls 2 Wiki	Rings	+	"
""A ring set with a rare tearstone. Reacts when the wearer is in danger, temporarily increasing its wearer's physical attack power. Caitha, goddess of tears, mourns the undeserving dead, shedding tears as red as blood. It is said that the stone set in this ring is one such tear.""
"
Royal Soldier's Ring	Dark Souls 2 Wiki	Rings	+	"
""A ring bearing a soldier's seal. Increases the load that can be carried. These rings were granted to warriors who distinguished themselves in the service of King Vendrick. The king favored simple warriors who staked their every battle on strength alone.""
"
Ring of Soul Protection	Dark Souls 2 Wiki	Rings	+	"
""Divine ring that watches over one's soul. Created by Ivory Rhones, sage of Lindelt. Its great protective power will protect you from any loss upon death or petrification, but after its power is spent, the ring will break""
"
Spell Quartz Ring	Dark Souls 2 Wiki	Rings	+	"
""A ring bestowed upon students of a certain standard at the Melfian Magic Academy. Its soul-based quartz increases magic defense. Pyromancer Glocken crafts these replicas, much to the dismay of the conservative old-guard faculty.""
"
Slumbering Dragoncrest Ring	Dark Souls 2 Wiki	Rings	+	"
""An old ring of the Melfian Magic Academy.Depicts a soundly slumbering dragon. Masks the sounds made by its wearer. The precise origins of the Magic Academy are hazy, for over its long history, its faculty has been dissolved and reestablished at least a dozen times."" Changed with Scholar of the First Sin: ""An old ring of the Melfian Magic Academy.Depicts a soundly slumbering dragon. Masks the sounds made by its wearer. Though unknown for certain, some say the founders of the academy were sinful men who came from across the northern seas. The sorceries they left behind were fragmentary, and barely legible, leading to the loss of much of their wisdom.
"
Strength Ring	Dark Souls 2 Wiki	Rings	Crown of the Old Iron King Rings	"
""An oddly deformed iron ring. Increases the strength of its wearer. The Old Iron King ruled over a great age of iron. The King's power allowed him to mold iron freely, as if he held sway over the forces of life and creation.""
"
Crest of the Rat	Dark Souls 2 Wiki	Rings	+	"
""Ring of the Rat King covenant. Join this covenant and wear this ring to lure trespassers of the Rat King's territory into your world. If you receive this ring, rejoice in the opportunity to demonstrate your allegiance to an eminently noble being.""
"
Ring of Steel Protection	Dark Souls 2 Wiki	Rings	+	"
""Wearer gains the protection of steel. Increases physical defense. Said to be the ring of the once legendary Knight King, though his tales are long forgotten, and even the greatly wizened have no recollection of his exploits.""
"
Ring of the Dead	Dark Souls 2 Wiki	Rings	+	"
""The wearer of this ring appears human even when Hollow. They say that in the Undead Crypt, we can reacquaint ourselves with the dead. We all suffer loss. And none of us can escape death. Then, what is the fascination with reclaiming that which has already passed into that beyond?""
"
Dark Clutch Ring	Dark Souls 2 Wiki	Rings	+	"
""Ring depicting a hand grasping a stone. Increases dark attack, but reduces physical defence. The origin of this ring is unknown, but its design suggests one of the dark deities. Effective use of this ring requires skill on the part of its wearer.""
"
Illusory Ring of the Guilty	Dark Souls 2 Wiki	Items	Unused Items	"
 ""A ring of black stone. The stone is misshaped, perhaps imperceptibily. Renders certain equipment invisible. Do not judge your foes by their appearance. He who approaches with no sword carries two on his back.""
"
Ring of Giants	Dark Souls 2 Wiki	Rings	+	"
""The beloved ring of the gallant Shieldless Lothian, formerly of Forossa. Increases poise. Lothian was born a peasant, and died a general. His determination and diligence were unmatched, especially on the battlefield, where he earned his name by choosing to fight without a shield.""
"
